Title,Artist,love,breakup,party,ambition,nostalgia,heartbreak,friendship,betrayal,happiness,sadness,hope,anger,revenge,loneliness,celebration,motivation,reflection,peace
I Can Do It With A Broken Heart,Taylor Swift,0.04194847,0.0009877587,0.0041914876,0.055681206,0.036304843,0.8474616,0.013424611,,,,,,,,,,,
I Like The Way You Kiss Me,Artemas,0.008687863,0.0003328225,0.008755862,0.5708687,0.02017587,0.35404038,0.037138507,,,,,,,,,,,
Devil Is A Lie,Tommy Richman,0.19921309,0.017206503,0.12170976,0.060229108,0.17113648,0.34182656,0.08867847,,,,,,,,,,,
Whatever She Wants,Bryson Tiller,0.108853854,0.006442042,0.0055017876,0.16038421,0.25830972,0.23601589,0.22449246,,,,,,,,,,,
Sweet Dreams,Koe Wetzel,0.009129633,0.0005623673,0.021508088,0.014731636,0.009289288,0.9130426,0.03173643,,,,,,,,,,,
One Of Wun,Gunna,0.085600406,0.005365315,0.017651042,0.25626254,0.2265063,0.23437718,0.17423725,,,,,,,,,,,
Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",0.10033193,0.0153395515,0.09965033,0.02572155,0.059249662,0.6118075,0.08789946,,,,,,,,,,,
Euphoria,Kendrick Lamar,0.007453926,0.0009776118,0.31457856,0.049112763,0.0050471197,0.6088024,0.014027547,,,,,,,,,,,
Dirt Cheap,Cody Johnson,0.1149942,0.014425849,0.01636476,0.084937975,0.4028331,0.15969074,0.20675342,,,,,,,,,,,
Red Wine Supernova,Chappell Roan,0.019563597,0.0019695554,0.008535271,0.04315858,0.12024883,0.097474426,0.7090498,,,,,,,,,,,
Hot To Go!,Chappell Roan,0.20380157,0.0037791508,0.0050978414,0.14492795,0.19007997,0.330469,0.121844575,,,,,,,,,,,
Wild Ones,Jessie Murph & Jelly Roll,0.16947487,0.0027825201,0.18913744,0.07813392,0.15673372,0.11414827,0.2895892,,,,,,,,,,,
Wildflower,Billie Eilish,0.007066464,0.00048348532,0.002040236,0.0063800467,0.009430982,0.93171,0.04288883,,,,,,,,,,,
Attitude,Don Toliver Featuring Charlie Wilson & Cash Cobain,0.009404624,0.0016825419,0.012889064,0.6504268,0.19074695,0.057506807,0.077343106,,,,,,,,,,,
U My Everything,Sexyy Red & Drake,0.44756684,0.017379083,0.04695578,0.20306672,0.104086764,0.108655475,0.07228934,,,,,,,,,,,
